"shapeid","x","y"
"0","-122.02613","37.873744"
"0","-122.026229","37.872681"
"0","-122.026262","37.872328"
"0","-122.026066","37.872303"
"0","-122.025933","37.872287"
"0","-122.024947","37.872167"
"0","-122.024619","37.872127"
"0","-122.02436","37.872084"
"0","-122.023586","37.871958"
"0","-122.023328","37.871916"
"0","-122.023324","37.872033"
"0","-122.02332","37.872167"
"0","-122.023296","37.872923"
"0","-122.023289","37.873176"
"0","-122.023287","37.873517"
"0","-122.023285","37.873996"
"0","-122.02274","37.873937"
"0","-122.022401","37.873901"
"0","-122.021855","37.873825"
"0","-122.020217","37.873599"
"0","-122.020034","37.873573"
"1","-122.333398","37.892794"
"1","-122.335681","37.892288"
"1","-122.338261","37.891715"
"1","-122.346","37.889997"
"1","-122.348581","37.889425"
"1","-122.35066","37.888985"
"1","-122.3569","37.887664"
"1","-122.358981","37.887225"
"1","-122.361281","37.886685"
"1","-122.368181","37.885064"
"1","-122.370482","37.884525"
"1","-122.371142","37.884364"
"1","-122.373121","37.883884"
"1","-122.373782","37.883725"
"1","-122.373982","37.883884"
"1","-122.374582","37.884364"
"1","-122.374782","37.884525"
"1","-122.38174","37.889955"
"1","-122.399382","37.903725"
"1","-122.402593","37.906274"
"1","-122.409507","37.911763"
"1","-122.412142","37.913855"
"1","-122.420047","37.920131"
"1","-122.422683","37.922224"
"1","-122.424602","37.923744"
"1","-122.426444","37.925202"
"1","-122.430205","37.928179"
"1","-122.430362","37.928304"
"1","-122.432216","37.929771"
"1","-122.432283","37.929824"
"1","-122.43261","37.93074"
"1","-122.433592","37.933489"
"1","-122.433783","37.934024"
"1","-122.433883","37.934224"
"1","-122.433965","37.934387"
"1","-122.433983","37.934425"
"1","-122.434169","37.934873"
"1","-122.434779","37.936336"
"1","-122.434983","37.936824"
"1","-122.436183","37.940943"
"1","-122.439783","37.953303"
"1","-122.440984","37.957423"
"1","-122.441083","37.958062"
"1","-122.441383","37.959983"
"1","-122.441484","37.960623"
"1","-122.441484","37.961798"
"1","-122.441484","37.965325"
"1","-122.441484","37.966501"
"1","-122.441484","37.966805"
"1","-122.441484","37.967718"
"1","-122.441484","37.968023"
"1","-122.441504","37.968583"
"1","-122.441564","37.970263"
"1","-122.441584","37.970823"
"1","-122.441584","37.97239"
"1","-122.441584","37.973923"
"1","-122.43945","37.976268"
"1","-122.438396","37.977428"
"1","-122.434927","37.981241"
"1","-122.424521","37.992681"
"1","-122.422484","37.994922"
"1","-122.421083","37.996522"
"1","-122.417938","37.999922"
"1","-122.417123","38.000802"
"1","-122.413683","38.004522"
"1","-122.405226","38.013625"
"1","-122.401258","38.017898"
"1","-122.399562","38.019722"
"1","-122.394477","38.025196"
"1","-122.392783","38.027021"
"1","-122.390776","38.029581"
"1","-122.384757","38.037263"
"1","-122.382751","38.039824"
"1","-122.381396","38.041552"
"1","-122.377334","38.046737"
"1","-122.37598","38.048466"
"1","-122.374475","38.049774"
"1","-122.369959","38.053698"
"1","-122.368455","38.055006"
"1","-122.364254","38.058656"
"1","-122.351654","38.069608"
"1","-122.347454","38.07326"
"1","-122.333639","38.070892"
"1","-122.292195","38.063788"
"1","-122.278381","38.06142"
"1","-122.277901","38.061364"
"1","-122.276881","38.061247"
"1","-122.276462","38.061199"
"1","-122.275983","38.061144"
"1","-122.276106","38.056356"
"1","-122.276293","38.049076"
"1","-122.276298","38.048859"
"1","-122.276303","38.048657"
"1","-122.276312","38.048281"
"1","-122.27644","38.043332"
"1","-122.276475","38.041993"
"1","-122.276599","38.037206"
"1","-122.276598","38.03716"
"1","-122.276596","38.037025"
"1","-122.276596","38.03698"
"1","-122.276619","38.036423"
"1","-122.276604","38.03641"
"1","-122.275296","38.035275"
"1","-122.27486","38.034897"
"1","-122.274845","38.034998"
"1","-122.274765","38.034917"
"1","-122.274655","38.034811"
"1","-122.274598","38.034755"
"1","-122.274279","38.034372"
"1","-122.274082","38.034187"
"1","-122.273752","38.033875"
"1","-122.273556","38.033691"
"1","-122.273328","38.033476"
"1","-122.273136","38.033295"
"1","-122.273107","38.033267"
"1","-122.272717","38.032899"
"1","-122.272434","38.03265"
"1","-122.271585","38.031905"
"1","-122.271302","38.031657"
"1","-122.270445","38.030806"
"1","-122.270259","38.030621"
"1","-122.270217","38.03045"
"1","-122.270144","38.030142"
"1","-122.26983","38.029812"
"1","-122.268171","38.028074"
"1","-122.268165","38.028068"
"1","-122.267817","38.027693"
"1","-122.267479","38.027353"
"1","-122.267318","38.027496"
"1","-122.267115","38.02728"
"1","-122.266858","38.027005"
"1","-122.266509","38.026632"
"1","-122.266398","38.026514"
"1","-122.266352","38.026466"
"1","-122.266307","38.026417"
"1","-122.265959","38.026122"
"1","-122.265866","38.02604"
"1","-122.264565","38.024887"
"1","-122.26424","38.024598"
"1","-122.264132","38.024503"
"1","-122.264122","38.024486"
"1","-122.264113","38.024472"
"1","-122.264056","38.024382"
"1","-122.264037","38.024352"
"1","-122.263932","38.024206"
"1","-122.263807","38.02406"
"1","-122.26363","38.023851"
"1","-122.263425","38.023628"
"1","-122.263252","38.02345"
"1","-122.263044","38.023248"
"1","-122.262778","38.02299"
"1","-122.262703","38.022918"
